%time,field.O_x,field.O_y,field.O_t,field.I_t,field.G_x,field.G_y
190,1.08596,-0.943964,0.332878,0.244609,0.976726,-0.967871
191,1.09878,-0.939201,0.332878,0.244496,0.976726,-0.967871
192,1.10323,-0.937551,0.332878,0.244288,0.976726,-0.967871
193,1.11568,-0.932926,0.332878,0.243989,1.0512,-0.944732
194,1.1197,-0.931779,0.332878,0.243929,1.07945,-0.935955
195,1.13023,-0.928766,0.332878,0.243889,1.07945,-0.935955
196,1.14311,-0.924146,0.332878,0.244125,1.07945,-0.935955
197,1.14438,-0.923689,0.332878,0.244143,1.07945,-0.935955
198,1.1567,-0.919412,0.332878,0.243772,1.07945,-0.935955
199,1.16051,-0.918116,0.332878,0.2437,1.07945,-0.935955
200,1.1681,-0.915534,0.332878,0.243897,1.07945,-0.935955
201,1.17216,-0.914154,0.332878,0.243961,1.07945,-0.935955
202,1.1795,-0.911656,0.332878,0.244122,1.10691,-0.927838
203,1.18374,-0.910215,0.332878,0.244167,1.12306,-0.923061
204,1.1909,-0.907778,0.332878,0.24419,1.12306,-0.923061
205,1.20093,-0.903408,0.332878,0.244458,1.12306,-0.923061
206,1.20098,-0.903383,0.332878,0.244456,1.12306,-0.923061
207,1.21791,-0.897562,0.332878,0.244511,1.12306,-0.923061
208,1.2247,-0.895227,0.332878,0.244578,1.12306,-0.923061
209,1.22901,-0.893841,0.332878,0.244668,1.12306,-0.923061
210,1.23427,-0.892148,0.332878,0.244651,1.1884,-0.905726
211,1.23999,-0.890166,0.33359,0.244525,1.2447,-0.890788
212,1.2589,-0.883593,0.334412,0.245013,1.2447,-0.890788
213,1.2655,-0.881259,0.334412,0.245467,1.2447,-0.890788
214,1.27213,-0.878916,0.334412,0.24551,1.2447,-0.890788
215,1.27901,-0.876488,0.334412,0.2457,1.2447,-0.890788
216,1.28537,-0.874239,0.334412,0.245835,1.2447,-0.890788
217,1.29297,-0.871511,0.334412,0.246168,1.2447,-0.890788
218,1.30803,-0.866654,0.334412,0.246054,1.27238,-0.883924
219,1.31499,-0.864603,0.334412,0.245949,1.27238,-0.883923
220,1.32297,-0.861738,0.334412,0.245837,1.27238,-0.883923
221,1.32914,-0.859526,0.334412,0.245716,1.27238,-0.883923
222,1.33797,-0.856317,0.334412,0.245532,1.27238,-0.883923
223,1.3442,-0.85405,0.334412,0.245557,1.27238,-0.883923
224,1.35277,-0.850976,0.334412,0.245453,1.27238,-0.883923
225,1.36529,-0.846522,0.334412,0.245121,1.27238,-0.883923
226,1.36662,-0.846052,0.334412,0.245119,1.27238,-0.883923
227,1.37159,-0.844296,0.334412,0.24536,1.30403,-0.87289
228,1.39277,-0.836871,0.334412,0.245239,1.35851,-0.8539
229,1.39714,-0.835342,0.334412,0.245337,1.35851,-0.8539
230,1.40485,-0.832719,0.334412,0.245804,1.35851,-0.8539
231,1.40854,-0.831464,0.334412,0.245917,1.35851,-0.8539
232,1.41994,-0.827586,0.334412,0.245817,1.35851,-0.8539
233,1.42587,-0.825677,0.334412,0.245985,1.35851,-0.8539
234,1.42684,-0.825365,0.334412,0.246026,1.35851,-0.8539
235,1.43799,-0.821619,0.334412,0.246295,1.39354,-0.845195
236,1.4409,-0.820629,0.334412,0.246197,1.39359,-0.845182
237,1.45027,-0.817377,0.334412,0.246075,1.39359,-0.845182
238,1.45322,-0.816351,0.334412,0.246189,1.39359,-0.845182
239,1.4642,-0.812412,0.334412,0.246171,1.39359,-0.845182
240,1.47251,-0.809457,0.334412,0.246211,1.39359,-0.845182
241,1.47792,-0.807547,0.334412,0.246266,1.39359,-0.845182
242,1.49,-0.803276,0.334412,0.246092,1.39359,-0.845182
243,1.49135,-0.8028,0.334412,0.246102,1.39359,-0.845182
244,1.50568,-0.797671,0.334412,0.245644,1.48712,-0.820099
245,1.50799,-0.796844,0.334412,0.245716,1.48717,-0.820085
246,1.5192,-0.792882,0.334412,0.245739,1.48717,-0.820085
247,1.52122,-0.792167,0.334412,0.24573,1.48717,-0.820085
248,1.54246,-0.785322,0.333277,0.245835,1.48717,-0.820085
249,1.54835,-0.783433,0.332962,0.245752,1.48717,-0.820085
250,1.55983,-0.779374,0.332878,0.246043,1.48717,-0.820085
251,1.5627,-0.778345,0.332878,0.246027,1.48717,-0.820085
252,1.5781,-0.772756,0.332878,0.245776,1.52372,-0.80754
253,1.57914,-0.772377,0.332878,0.245734,1.52374,-0.807534
254,1.5926,-0.767547,0.332878,0.245265,1.52374,-0.807534
255,1.60113,-0.764486,0.332878,0.24533,1.52374,-0.807534
256,1.60683,-0.762444,0.332878,0.245361,1.52374,-0.807534
257,1.61634,-0.759078,0.332878,0.245298,1.52374,-0.807534
